"","ID","Description","GeneRatio","BgRatio","RichFactor","FoldEnrichment","zScore","pvalue","p.adjust","qvalue","geneID","Count"
"GO:0120161","GO:0120161","regulation of cold-induced thermogenesis","36/1320","151/18805",0.23841059602649,3.39644792293799,8.12362283641451,5.40867860523352e-11,2.86414117049866e-08,2.03925298608804e-08,"LEP/FABP4/ADIPOQ/G0S2/CD36/CAV1/QKI/EPAS1/ACADL/CXCR4/ACSL1/CIDEA/ADAMTS5/HADH/NPR3/LAMA4/TFE3/FABP5/PLCL2/ADIPOR2/ABHD6/LEPR/SMARCA4/NOVA1/ALDH1A1/EBF2/SCD/CEBPB/HSF1/PEMT/TLE3/TLR4/NR1H3/LPIN1/ADAM17/ID1",36
"GO:0106106","GO:0106106","cold-induced thermogenesis","36/1320","152/18805",0.236842105263158,3.3741028708134,8.07469729755232,6.6162695192912e-11,3.2116474958226e-08,2.28667560579012e-08,"LEP/FABP4/ADIPOQ/G0S2/CD36/CAV1/QKI/EPAS1/ACADL/CXCR4/ACSL1/CIDEA/ADAMTS5/HADH/NPR3/LAMA4/TFE3/FABP5/PLCL2/ADIPOR2/ABHD6/LEPR/SMARCA4/NOVA1/ALDH1A1/EBF2/SCD/CEBPB/HSF1/PEMT/TLE3/TLR4/NR1H3/LPIN1/ADAM17/ID1",36
"GO:1990845","GO:1990845","adaptive thermogenesis","38/1320","169/18805",0.224852071005917,3.20329029944415,7.90529338516444,1.01930637552667e-10,4.56727664418683e-08,3.25187621018227e-08,"LEP/FABP4/ADIPOQ/G0S2/CD36/CAV1/S100B/QKI/EPAS1/ACADL/CXCR4/ACSL1/CIDEA/ADAMTS5/HADH/NPR3/LAMA4/TFE3/FABP5/PLCL2/ADIPOR2/ABHD6/LEPR/SMARCA4/NOVA1/ALDH1A1/EBF2/SCD/CEBPB/HSF1/PEMT/TLE3/TLR4/NR1H3/LPIN1/SORL1/ADAM17/ID1",38
"GO:0007044","GO:0007044","cell-substrate junction assembly","27/1320","96/18805",0.28125,4.00674715909091,8.11496230593266,2.58739834863543e-10,1.0765425272001e-07,7.66492443129593e-08,"SORBS1/TNS1/FERMT2/ITGB1BP1/DLC1/SDC4/PTPRK/PTEN/TEK/FN1/LAMC1/PPM1F/ARHGEF7/BCL2/LIMCH1/DUSP3/S100A10/APOD/DST/CORO2B/EPHA3/ITGB4/MAP4K4/HRG/ITGB3/FAM107A/ROCK2",27
"GO:0150115","GO:0150115","cell-substrate junction organization","28/1320","103/18805",0.271844660194175,3.87275669314504,8.0325363531647,2.89440720368524e-10,1.1239947974311e-07,8.00278202282095e-08,"SORBS1/TNS1/FERMT2/ITGB1BP1/DLC1/SDC4/PTPRK/PTEN/TEK/FN1/LAMC1/PPM1F/ARHGEF7/BCL2/LIMCH1/DUSP3/S100A10/APOD/PIK3R1/DST/CORO2B/EPHA3/ITGB4/MAP4K4/HRG/ITGB3/FAM107A/ROCK2",28
"GO:0019216","GO:0019216","regulation of lipid metabolic process","58/1320","343/18805",0.169096209912536,2.40898047530701,7.2358895692158,3.31109949877413e-10,1.20544716127245e-07,8.58271843761188e-08,"ACACB/LEP/ADIPOQ/SORBS1/CIDEC/PDE3B/RARRES2/PPARG/PCK1/CAV1/AKR1C3/QKI/ACADL/ADM/CIDEA/FMO2/IRS2/PLPP1/FABP5/GOLM1/CES1/ATP1A1/SOX9/GNAI1/XBP1/ABHD6/NR3C1/RGN/MTMR1/ABHD5/DAB2/TWIST1/SREBF2/SERPINA3/CREBL2/AADAC/ACSL3/WDTC1/ADGRF5/APOD/NR1H3/IDH1/APOC1/ELOVL5/CHP1/PNPLA2/KAT2B/ZBTB20/EGR1/CRTC3/DKK3/SORL1/ASAH1/ID2/BMP2/ASXL3/PDE8B/ABCD2",58
"GO:0043434","GO:0043434","response to peptide hormone","74/1320","494/18805",0.149797570850202,2.13404796957429,7.01807713244304,4.15680801484863e-10,1.42431804038196e-07,1.01410672312716e-07,"LEP/ADIPOQ/SORBS1/PDE3B/RARRES2/CAV2/PPARG/PCK1/CAV1/KANK1/GHR/CAT/TGFBR3/ECHDC3/EDNRB/ADM/DDR1/HADH/KCNJ8/PRKCI/PID1/CDO1/RHOQ/ASS1/INPP5K/IRS2/FOXO1/SIK2/GNAI1/EGFR/TEK/ZNF106/XBP1/PTPN11/CCNA2/FOS/SOS1/NTRK2/DDR2/SMARCC1/HSF1/TNS2/FLT1/JAK1/STAT5A/TYRO3/WDTC1/AGTR1/EPRS1/COL1A1/STC2/SCNN1A/ADCY6/MAP3K7/LPIN1/TRIM24/KAT2B/PIK3R1/EGR1/CRY1/GCLC/EPHA3/CRHR1/SORL1/FGFR1/RET/PTPN2/ITGB3/EPHB1/STAT1/INHBA/EPM2AIP1/ROCK2/NDEL1",74
"GO:0051051","GO:0051051","negative regulation of transport","71/1320","467/18805",0.15203426124197,2.16591233534488,7.01015501807134,4.89502312087762e-10,1.57750914890369e-07,1.12317796190297e-07,"LEP/ADIPOQ/BIN1/CD36/CAV1/PTGER3/ANGPT1/ATP1A2/HADH/ANK3/PID1/ARHGAP8/GABRE/INPP5K/IRS2/FOXO1/FABP5/ANXA1/HMGCR/KCNAB1/PTEN/VAMP8/MDFIC/PPM1F/CRYAB/PTPN11/LGALS3/SNX3/IL12A/TRIM27/ATP9A/SREBF2/BCL2/PPP3CB/CALM1/FRMD4A/WNK1/P2RY1/PKIG/ASIC1/LRRTM2/SRI/APOD/VDAC1/TXN/NR1H3/ARHGAP1/CASQ2/CD47/KCNB1/PEA15/ISCU/APOC1/CHP1/SP100/VAMP3/ABAT/CRY1/ANXA2/EPHA3/CRHR1/CYP51A1/RAB33B/NEU3/ITGB3/GNAZ/INHBA/RGS4/TNFRSF1B/PDE8B/RAB7A",71
"GO:0001503","GO:0001503","ossification","70/1320","458/18805",0.152838427947598,2.17736866481408,7.00877228716146,5.14552340414939e-10,1.57750914890369e-07,1.12317796190297e-07,"LEP/PPARG/CHRDL1/FERMT2/CAT/TFAP2A/CEBPA/DHRS3/S1PR1/TMT1A/SOX9/CLEC3B/RXRA/IGF1/PTEN/EGFR/TEK/FGF2/ZBTB16/BCOR/SLC24A3/PTPN11/GPC3/CRIM1/RRAS2/IL6R/LTF/TWIST1/DDR2/CEBPB/FHL2/SMAD6/BCL2/MMP13/MDK/RUNX1/DHX9/ADAMTS7/FZD1/COL11A1/SETD2/SUCO/SMAD7/COL1A1/CTNNB1/ISG15/TPM4/PEX7/EIF2AK3/GLI2/MAPK11/GTPBP4/SLC26A2/HSPE1/COL1A2/IGFBP3/ALOX5/TOB1/CLEC11A/IL6ST/BMP2K/HNRNPC/H3-3B/TMCO1/JUNB/BMP2/PTGER4/SPP1/SMAD5/PLXNB1",70
"GO:0006631","GO:0006631","fatty acid metabolic process","65/1320","413/18805",0.157384987893462,2.24213992222467,7.01310490670531,6.34357505267702e-10,1.84756623409218e-07,1.3154571425025e-07,"ACACB/LPL/LEP/AKR1C2/ADIPOQ/AKR1C1/CD36/PPARG/PCK1/CAV1/AKR1C3/PRKAR2B/QKI/ACSM5/ETFB/ACADL/ACSL1/ECHDC3/ACAA2/HADH/MGLL/FMO2/GPX4/IRS2/ECHS1/ACOT2/ACAT1/FABP5/CES1/SOX9/ALDH3A2/ADIPOR2/XBP1/ABHD6/HACD2/RGN/MSMO1/PLA2G4A/ETFDH/ABHD5/GPX1/MIF/TWIST1/SCD/CYP4B1/PCCA/ADH5/ABCD4/ACSL3/WDTC1/EPHX1/NR1H3/PEX7/ECH1/APOC1/LPIN1/ELOVL5/KAT2B/ECHDC1/CYP3A4/ALOX5/ASAH1/ACOX1/FADS3/ABCD2",65
"GO:0016042","GO:0016042","lipid catabolic process","58/1320","350/18805",0.165714285714286,2.36080086580087,7.06075013280549,7.35416719637763e-10,2.03990590089998e-07,1.45240194254275e-07,"ACACB/LPL/LEP/ADIPOQ/PLIN1/CIDEC/PDE3B/RARRES2/PCK1/AKR1C3/ETFB/ACADL/PLAAT3/CIDEA/PLPP3/ACAA2/HADH/MGLL/IRS2/ECHS1/ACAT1/PLPP1/PRDX6/CES1/HSD11B1/STS/PLPP2/ABHD6/PLA2G4A/ENPP2/ETFDH/ABHD5/TWIST1/ABHD4/PLAAT4/PCCA/LIPE/ALDH3B2/ABCD4/PAFAH1B3/AADAC/PEX7/ECH1/IDH1/APOC1/LPIN1/PNPLA2/ECHDC1/CYP3A4/CRTC3/SMPD4/SORL1/ASAH1/NEU3/SPP1/ACOX1/RAB7A/ABCD2",58
"GO:0071375","GO:0071375","cellular response to peptide hormone stimulus","60/1320","369/18805",0.16260162601626,2.31645725548165,7.01723247053105,8.0252243122592e-10,2.12486052813227e-07,1.51288917656944e-07,"LEP/ADIPOQ/SORBS1/PDE3B/RARRES2/CAV2/PPARG/PCK1/CAV1/KANK1/GHR/ECHDC3/DDR1/PRKCI/PID1/RHOQ/ASS1/INPP5K/IRS2/FOXO1/SIK2/EGFR/TEK/ZNF106/XBP1/PTPN11/CCNA2/FOS/SOS1/NTRK2/DDR2/SMARCC1/HSF1/TNS2/FLT1/JAK1/STAT5A/TYRO3/WDTC1/AGTR1/EPRS1/SCNN1A/ADCY6/MAP3K7/LPIN1/KAT2B/PIK3R1/GCLC/EPHA3/CRHR1/SORL1/FGFR1/RET/PTPN2/ITGB3/EPHB1/STAT1/INHBA/ROCK2/NDEL1",60
"GO:0045765","GO:0045765","regulation of angiogenesis","59/1320","363/18805",0.162534435261708,2.31550004173971,6.95375585169691,1.12924245182334e-09,2.85992925298738e-07,2.03625412365399e-07,"LEP/ANGPTL4/PDE3B/CD36/PPARG/RGCC/QKI/CXCR4/ADM/KLF4/ADGRA2/SASH1/SERPINF1/TEK/F3/XBP1/HIPK2/SPARC/FGF2/CDH5/TGFBR2/COL4A2/ADAMTS1/TWIST1/KLF2/PPP1R16B/PLK2/ATP2B4/RRAS/HK2/CLDN5/MDK/AQP1/FLT1/NPR1/RUNX1/WNK1/DCN/PLXND1/RTN4/JAK1/DDAH1/TNMD/CTNNB1/JCAD/FYN/KRIT1/SP100/RECK/PTPRM/STAB1/ALOX5/HRG/ITGB3/STAT1/RAPGEF3/HTATIP2/BTG1/ROCK2",59
"GO:0006869","GO:0006869","lipid transport","69/1320","460/18805",0.15,2.13693181818182,6.78318633189453,1.54414286530957e-09,3.74776341267844e-07,2.66838723215777e-07,"LEP/RBP4/FABP4/ADIPOQ/CIDEC/AKR1C1/CD36/ABCA8/PPARG/CAV1/ACSL1/STX12/TMEM97/CIDEA/FZD4/OSBPL1A/KCNJ8/IRS2/APOLD1/FABP5/CES1/C1QTNF1/ANXA1/RXRA/CLU/ATP9B/ESYT1/PLIN2/PTPN11/MYB/PLA2G4A/PLSCR4/ANO3/NME4/MIF/DAB2/VLDLR/ATP9A/ABCA1/SREBF2/PLEKHA8P1/ABCD4/TMEM41B/PRELID3B/GOT2/ACSL3/NR0B2/AGTR1/EPRS1/APOD/VDAC1/VPS4A/NR1H3/APOL3/ABCA5/APOC1/APOL6/CRY1/ABCA6/ANXA2/CRHR1/CHKA/VMP1/GULP1/ITGB3/TSKU/SPP1/INHBA/ABCD2",69
"GO:0032868","GO:0032868","response to insulin","54/1320","324/18805",0.166666666666667,2.37436868686869,6.85633915024233,2.30096424929739e-09,5.36124670086291e-07,3.81717858620282e-07,"LEP/ADIPOQ/SORBS1/PDE3B/RARRES2/CAV2/PPARG/PCK1/KANK1/GHR/CAT/ECHDC3/ADM/DDR1/HADH/KCNJ8/PRKCI/PID1/RHOQ/INPP5K/IRS2/FOXO1/SIK2/EGFR/TEK/ZNF106/XBP1/PTPN11/FOS/SOS1/NTRK2/DDR2/SMARCC1/TNS2/FLT1/TYRO3/WDTC1/EPRS1/COL1A1/LPIN1/KAT2B/PIK3R1/EGR1/CRY1/GCLC/EPHA3/SORL1/FGFR1/RET/PTPN2/EPHB1/STAT1/EPM2AIP1/NDEL1",54
"GO:1901342","GO:1901342","regulation of vasculature development","59/1320","372/18805",0.158602150537634,2.25947987943956,6.74130475587401,2.92740806998422e-09,6.55852000294542e-07,4.66963068653354e-07,"LEP/ANGPTL4/PDE3B/CD36/PPARG/RGCC/QKI/CXCR4/ADM/KLF4/ADGRA2/SASH1/SERPINF1/TEK/F3/XBP1/HIPK2/SPARC/FGF2/CDH5/TGFBR2/COL4A2/ADAMTS1/TWIST1/KLF2/PPP1R16B/PLK2/ATP2B4/RRAS/HK2/CLDN5/MDK/AQP1/FLT1/NPR1/RUNX1/WNK1/DCN/PLXND1/RTN4/JAK1/DDAH1/TNMD/CTNNB1/JCAD/FYN/KRIT1/SP100/RECK/PTPRM/STAB1/ALOX5/HRG/ITGB3/STAT1/RAPGEF3/HTATIP2/BTG1/ROCK2",59
"GO:0010810","GO:0010810","regulation of cell-substrate adhesion","42/1320","224/18805",0.1875,2.67116477272727,6.91334146895381,4.11349887230567e-09,8.87449293747427e-07,6.31859086038376e-07,"TACSTD2/CD36/KANK1/FERMT2/ITGB1BP1/ECM2/DLC1/DDR1/FZD4/SDC4/EGFL6/PTEN/TEK/FN1/PPM1F/ARHGEF7/POSTN/DAB2/RRAS/BCL2/CEACAM6/AGR2/MDK/LIMCH1/DUSP3/S100A10/COL1A1/EFEMP2/APOD/NID1/FZD7/FBLN2/PIK3R1/CORO2B/EPHA3/MAP4K4/HRG/ITGB3/FAM107A/NEDD9/PTPRO/ROCK2",42
"GO:0033002","GO:0033002","muscle cell proliferation","45/1320","251/18805",0.179282868525896,2.5541017747193,6.81046569264087,5.00027845136893e-09,1.040236499258e-06,7.40642748059909e-07,"RBP4/ADIPOQ/CAV2/PPARG/TGFBR3/ANGPT1/S1PR1/IGF1/JUN/PTEN/EGFR/CDK1/XBP1/FGF2/ZFPM2/MYB/IL6R/NAA35/FOS/IL12A/ADAMTS1/DDR2/CITED2/NPR1/RUNX1/EFEMP2/CTNNB1/TLR4/APOD/MAP3K7/MAPK11/NDC80/PIK3R1/ANG/IGFBP3/TCF7L2/NDRG4/KCNK2/FGFR1/ITGB3/EPHB1/STAT1/ID2/BMP2/TENM4",45
"GO:0051896","GO:0051896","regulation of phosphatidylinositol 3-kinase/protein kinase B signal transduction","48/1320","278/18805",0.172661870503597,2.4597776324395,6.73729898308904,5.53751775589759e-09,1.11227727338288e-06,7.9193538868372e-07,"LEP/AKR1C2/PDE3B/AKR1C3/FERMT2/ITGB1BP1/CAT/ANGPT1/GATA3/DDR1/INPP5K/IRS2/TPBG/C1QTNF1/TMEM100/IGF1/PTEN/EGFR/TEK/XBP1/FGF2/FN1/GPX1/CAVIN3/NTRK2/TWIST1/DDR2/PPP1R16B/RRAS/FLT1/DCN/PRR5/RTN4/APP/TYRO3/CEP55/PINK1/TXN/FBXL2/PIP5K1C/VAV3/TCF7L2/FGFR1/RET/THPO/RAPGEF3/HYAL2/PLXNB1",48
"GO:1905952","GO:1905952","regulation of lipid localization","37/1320","189/18805",0.195767195767196,2.78894099727433,6.79145773671465,1.03314460897584e-08,2.00602244909475e-06,1.42827710854905e-06,"ACACB/LPL/LEP/ADIPOQ/CD36/ABCA8/PPARG/CAV1/ACSL1/TMEM97/CIDEA/IRS2/CES1/C1QTNF1/RXRA/PLIN2/PTPN11/MYB/PLA2G4A/ABHD5/MIF/DAB2/ABCA1/SREBF2/AGTR1/EPRS1/NR1H3/ABCA5/HILPDA/APOC1/PNPLA2/CRY1/ANXA2/CRHR1/PTPN2/ITGB3/SPP1",37
"GO:0007162","GO:0007162","negative regulation of cell adhesion","51/1320","312/18805",0.163461538461538,2.32870775058275,6.50252976812744,1.24694447180021e-08,2.34304888652782e-06,1.66823810488721e-06,"ADIPOQ/PDE3B/EPCAM/TACSTD2/RGCC/KANK1/ITGB1BP1/ANGPT1/CDH1/CD9/DLC1/FZD4/KLF4/SPINT2/SDC4/ASS1/MUC1/C1QTNF1/ANXA1/LGALS1/PTEN/PPM1F/PTPN11/LGALS3/DUSP1/POSTN/PAWR/DLG5/CEBPB/MDK/RUNX1/WNK1/DUSP3/PLXND1/STAT5A/SMAD7/COL1A1/APOD/ITCH/FZD7/XCL1/GTPBP4/PIK3R1/CORO2B/MAP4K4/HRG/PTPN2/BMP2/FAM107A/PTPRO/PLXNB1",51
"GO:1904951","GO:1904951","positive regulation of establishment of protein localization","53/1320","331/18805",0.16012084592145,2.2811155360249,6.46102012316573,1.3374613269724e-08,2.43459757175445e-06,1.73342027245765e-06,"LEP/RBP4/PPARG/ITGB1BP1/MYOM1/CDH1/SFN/TMEM97/SOX4/ANK3/IRS2/IGF1/EGFR/CDK1/XBP1/ABLIM3/CCT6A/ASPH/CD81/STOM/SREBF2/CCT3/PPP3CB/FRMD4A/MYH10/RAN/ACSL3/APP/NR0B2/PINK1/TLR4/SRI/TMEM132A/FYN/SH3GLB1/CAMK1/KCNB1/SERP1/CHP1/PIK3R1/FZD5/ANG/CORO2B/ECT2/ABAT/MIEF1/TCF7L2/SORL1/RAPGEF3/ARIH2/HYAL2/CCT5/KIF20B",53
"GO:0032869","GO:0032869","cellular response to insulin stimulus","45/1320","260/18805",0.173076923076923,2.46569055944056,6.53875122272556,1.53327390609525e-08,2.70646075848631e-06,1.92698538756468e-06,"LEP/ADIPOQ/SORBS1/PDE3B/RARRES2/CAV2/PPARG/PCK1/KANK1/GHR/ECHDC3/DDR1/PRKCI/PID1/RHOQ/INPP5K/IRS2/FOXO1/SIK2/EGFR/TEK/ZNF106/XBP1/PTPN11/SOS1/NTRK2/DDR2/SMARCC1/TNS2/FLT1/TYRO3/WDTC1/EPRS1/LPIN1/KAT2B/PIK3R1/GCLC/EPHA3/SORL1/FGFR1/RET/PTPN2/EPHB1/STAT1/NDEL1",45
"GO:1902652","GO:1902652","secondary alcohol metabolic process","33/1320","161/18805",0.204968944099379,2.92003105590062,6.72250157680041,1.98708024627384e-08,3.40433601016033e-06,2.42386878338047e-06,"LEP/QKI/ACADL/CAT/CEBPA/OSBPL1A/ACAA2/CYB5R3/CES1/HMGCR/GNAI1/IDH2/LEPR/MSMO1/VLDLR/ABCA1/NFE2L1/SREBF2/LIPE/APP/NR0B2/FDPS/ABCA5/IDH1/APOC1/TM7SF2/DHCR24/CYP3A4/CYP51A1/LSS/FGFR1/SQLE/TSKU",33
